NAICS-6,NAICS-6 Title,Capability Domain (D),Primary Output (P),Mapping Status,D Rationale,P Rationale,Notes / Caveats
335312,Motor and Generator Manufacturing,D3,P3,Partial,Motors map to D2 while generators map to D3 -> D3 (dominant technical domain),Motors and generators are bounded functional units -> P3,Override spread confirms domain ambiguity; P4 remains override-only
336611,Ship Building and Repairing,D0,P0,Unresolved,Code spans 9 observed domains -> no defensible single D,P4/P5 need entity evidence; empirically 6 P labels -> P0,"Heterogeneous; resolve only via (Program,UEI) override"
335311,"Power, Distribution, and Specialty Transformer Manufacturing",D3,P3,Mapped,Transforms and regulates ship-service electrical power -> D3,Transformers are bounded acceptance-testable equipment -> P3,P agrees across 8 overrides; D spread remains entity-specific
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,D5,P3,Mapped,Conditions air and provides refrigeration or heat transfer -> D5,Plants and packaged units are functional equipment -> P3,Override spread treated as entity-specific; definition-based default
332911,Industrial Valve Manufacturing,D4,P3,Mapped,Fluid/pressure component industry -> D4,"Bounded, acceptance-testable equipment -> P3",19/19 researched examples agree (D4/P3)
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,D0,P2,Partial,Residual fabricated-metal products span multiple ship domains -> D0,Residual products are most defensibly finished components -> P2,Broad residual code; entity overrides should carry technical domain
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",D4,P3,Mapped,Moves and dispenses fluids through pumping equipment -> D4,Pumps are bounded acceptance-testable equipment -> P3,P agrees across 9 overrides; D spread remains entity-specific
332111,Iron and Steel Forging,D9,P1,Mapped,Forging process is the differentiating capability -> D9,Forgings normally require substantial downstream machining -> P1,D agrees across 7 overrides; P spread remains entity-specific
332312,Fabricated Structural Metal Manufacturing,D1,P2,Mapped,Output is explicitly fabricated structural metal -> D1,Structural fabrications are fit-ready components -> P2,Override output spread reflects complete-equipment exceptions
336412,Aircraft Engine and Engine Parts Manufacturing,D2,P0,Partial,Aircraft propulsion machinery is functionally closest to D2,"Definition spans engines, parts, prototypes, and overhaul -> P0",Resolve operating form through entity evidence
332410,Power Boiler and Heat Exchanger Manufacturing,D5,P3,Mapped,Boilers and heat exchangers perform thermal transfer -> D5,Boilers and heat exchangers are functional equipment -> P3,Override domains reflect program-specific applications
332313,Plate Work Manufacturing,D9,P2,Mapped,"Plate cutting, forming, and welding is the core process -> D9",Fabricated plate work is a fit-ready component -> P2,All researched outputs agree on P2; domain remains process-based
332710,Machine Shops,D9,P2,Mapped,Job-shop machining is the differentiating process -> D9,Machined products are finished parts -> P2,Override spread treated as entity-specific; definition-based default
