# DDG-51 hull <-> ship-name <-> MIRS schedule crosswalk (STAGED research aid - NOT wired into the build)
# Built 2026-06-30. Name<->hull: workbook hull_master URLs (113-136) + Wikipedia List_of_Arleigh_Burke-class_destroyers (137-149), cross-validated by MIRS builder + ddg_piid_hull_map builder split.
# MIRS schedule: S&P Global / IHS Sea-web 'MIRS_US Built_Destroyers.xlsx' (30 Jun 2026), monthly granularity. Dates normalized YYYY-MM. See ddg/docs/ddg_sam_research_findings.md sec P2-5.
Hull,Ship Name,IMO/IHS No,Builder,Builder Sources Agree,MIRS Status,MIRS Order,MIRS Keel,MIRS Launch,MIRS Delivery,MIRS Est Comp,Master Start Fab,Master Launch,Master Delivery,Master Sched Conf,Launch Agreement,Name-Hull Source,Name-Hull Confidence,Notes
DDG 113,John Finn,4677411,Huntington Ingalls Pascagoula,yes,In Service/Commission,2011-06,2013-11,2015-03,2017-07,,2013-11,2015-03,2016-12,Actual,match,hull_master URL,High,
DDG 114,Ralph Johnson,4675621,Huntington Ingalls Pascagoula,yes,In Service/Commission,2011-09,2014-09,2015-12,2018-03,,2014-09,2015-12,2017-11,Actual,match,hull_master URL,High,
DDG 117,Paul Ignatius,4667210,Huntington Ingalls Pascagoula,yes,In Service/Commission,2013-06,2015-10,2016-11,2019-07,,2015-10,2016-11,2019-02,Actual,match,hull_master URL,High,
DDG 118,Daniel Inouye,4667222,Bath General Dynamics,yes,In Service/Commission,2013-06,2018-05,2019-10,2021-03,,2018-05,2019-10,2021-03,Actual,match,hull_master URL,High,
DDG 119,Delbert D. Black,4667234,Huntington Ingalls Pascagoula,yes,In Service/Commission,2014-03,2016-06,2017-09,2020-09,,2016-06,2017-09,2020-04,Actual,match,hull_master URL,High,
DDG 121,Frank E. Petersen Jr.,4667258,Huntington Ingalls Pascagoula,yes,In Service/Commission,2015-03,2017-02,2018-07,2021-11,,2016-04,2018-07,2021-11,Actual,match,hull_master URL,High,
DDG 122,John Basilone,4667260,Bath General Dynamics,yes,In Service/Commission,2015-03,2020-01,2022-06,2024-07,,2020-01,2022-06,2024-07,Actual,match,hull_master URL,High,
DDG 123,Lenah Sutcliffe Higbee,4732948,Huntington Ingalls Pascagoula,yes,In Service/Commission,2016-03,2017-11,2020-01,2022-11,,2017-01,2020-01,2022-11,Actual,match,hull_master URL,High,
DDG 124,Harvey C. Barnum Jr.,4758681,Bath General Dynamics,yes,In Service/Commission,2016-03,2021-04,2023-09,2025-11,,2021-04,2023-09,2025-11,Actual,match,hull_master URL,High,
DDG 125,Jack H. Lucas,4730354,Huntington Ingalls Pascagoula,yes,In Service/Commission,2017-09,2019-11,2021-06,2023-06,,2019-11,2021-06,2023-06,Actual,match,hull_master URL,High,
DDG 126,Louis H. Wilson Jr.,4730366,Bath General Dynamics,yes,Keel Laid,2017-09,2023-05,,,2027-06,2020-03,2025-09,2027-09,Projected,ours-only (MIRS blank = pre-launch),hull_master URL,High,"Master launch Sep 2025 = christening; MIRS still 'Keel Laid', no float-off -> christening != launch (BIW)."
DDG 127,Patrick Gallagher,4730342,Bath General Dynamics,yes,In Service/Commission,2017-09,2022-03,2024-07,2026-05,,2019-04,2024-10,2026-05,Actual,DIFF 2024-10 vs 2024-07,hull_master URL,High,Launch discrepancy master Oct 2024 vs MIRS Jul 2024 -- reconcile.
