Rank,UEI,Vendor (registry name),Work-type ID,Work type,Delivered-output class,Assignment,Assignment basis,Registry confidence
1,LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,01,"Electrical power equipment, conversion & distribution",Modular / integrated assembly,"01 - Electrical power equipment, conversion & distribution",Turbine-generator sets and ship-service power-generation machinery.,high
2,GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",01,"Electrical power equipment, conversion & distribution",Modular / integrated assembly,"01 - Electrical power equipment, conversion & distribution","Shipboard switchboards, load centers, motor controllers and power-conversion/distribution equipment.",high
3,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,02,"Propulsion, engines & mechanical power transmission",Modular / integrated assembly,"02 - Propulsion, engines & mechanical power transmission","Controllable-pitch propellers, propulsors and related propulsion hardware.",high
4,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping",Naval pump assemblies and pump components.,high
5,N1PJDANWUJ61,SCOT FORGE COMPANY,06,"Primary metals, forgings & castings",Material / semi-finished input,"06 - Primary metals, forgings & castings","Open-die forgings, forged propulsion shafts, rings and gear blanks.",high
6,YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,05,"Structural fabrication, tanks & ship modules",Modular / integrated assembly,"05 - Structural fabrication, tanks & ship modules","Large welded submarine modules, VPM tubes, propulsors and bearing-support structures.",high
7,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,02,"Propulsion, engines & mechanical power transmission",Modular / integrated assembly,"02 - Propulsion, engines & mechanical power transmission",LM2500 marine gas-turbine propulsion modules and lifecycle support.,high
8,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",04,"Thermal management, HVAC & air handling",Modular / integrated assembly,"04 - Thermal management, HVAC & air handling","Shipboard chillers, compressors, refrigeration and environmental-control systems.",high
9,WJYVCPD5HKK7,"BWXT NUCLEAR OPERATIONS GROUP, INC.",02,"Propulsion, engines & mechanical power transmission",Modular / integrated assembly,"02 - Propulsion, engines & mechanical power transmission","[CURATED OVERRIDE of agent's 04 Thermal/HVAC] Naval nuclear reactor + steam-generator plant = the submarine's nuclear propulsion power source, delivered as an integrated assembly; grouped with propulsion-plant OEMs. Process-purists could file the heat-exchanger/pressure-vessel fabrication under 04/05, but the defining supplier-base role is propulsion-plant supply. Distinct from PCC (build-to-print fabricator, kept in 05).",high
10,E8LNMDLEKM35,D.C. FABRICATORS INC.,04,"Thermal management, HVAC & air handling",Discrete component / equipment,"04 - Thermal management, HVAC & air handling","Condensers, shell-and-tube heat exchangers and pressure equipment.",high
11,DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,13,"Shipyard work, marine integration & outfitting",Modular / integrated assembly,"13 - Shipyard work, marine integration & outfitting","Rosyth shipyard common-missile-compartment module fabrication, assembly and integration.",high
12,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",08,"Polymers, elastomers, composites & formulated materials",Discrete component / equipment,"08 - Polymers, elastomers, composites & formulated materials","Finished composite/elastomer sonar-acoustic structures, molded parts and formulated materials.",high
13,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",05,"Structural fabrication, tanks & ship modules",Discrete component / equipment,"05 - Structural fabrication, tanks & ship modules","Nuclear pressure vessels, reactor vessels, heavy plate weldments and large-envelope machining.",high
14,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,04,"Thermal management, HVAC & air handling",Modular / integrated assembly,"04 - Thermal management, HVAC & air handling","Shipboard air-conditioning plants, chillers, compressors and refrigeration machinery.",high
15,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,02,"Propulsion, engines & mechanical power transmission",Modular / integrated assembly,"02 - Propulsion, engines & mechanical power transmission","DDG-51 main reduction gears, naval gearboxes, high-speed gears and pinions.",high
16,HNAECT5M9TM4,"SOCAIL, LDA",15,"Installation, construction, maintenance & repair",Service / non-article output,"15 - Installation, construction, maintenance & repair","Industrial piping/pipework installation, piping fabrication and field piping services.",low
17,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",05,"Structural fabrication, tanks & ship modules",Modular / integrated assembly,"05 - Structural fabrication, tanks & ship modules","Heavy structural fabrication, submarine modules, platforms, pressure vessels and outfitted skids.",high
18,JEP5GQGFPUL9,PORTLAND VALVE LLC,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Ship-service ball valves, specialty naval valves, valve actuators and assemblies.",high
19,NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping",Nuclear safety/relief/control valves and valve-actuator assemblies.,high
20,JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,01,"Electrical power equipment, conversion & distribution",Discrete component / equipment,"01 - Electrical power equipment, conversion & distribution","Large propulsion motors, generators, ship-service turbine generators and electrical machinery.",high
21,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,10,"Sensors, instrumentation, controls & communications",Modular / integrated assembly,"10 - Sensors, instrumentation, controls & communications","Integrated bridge, navigation, steering and ship-control systems.",high
22,SX6BF52K2WB1,VACCO INDUSTRIES,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Quiet naval valves, manifolds and integrated fluid-control assemblies.",high
23,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,01,"Electrical power equipment, conversion & distribution",Modular / integrated assembly,"01 - Electrical power equipment, conversion & distribution","Military switchboards, load centers, power-distribution panels and circuit protection.",high
24,WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,13,"Shipyard work, marine integration & outfitting",Modular / integrated assembly,"13 - Shipyard work, marine integration & outfitting","Newport News Shipbuilding submarine-module construction, outfitting and integration.",high
25,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC",08,"Polymers, elastomers, composites & formulated materials",Discrete component / equipment,"08 - Polymers, elastomers, composites & formulated materials","Elastomeric shock/vibration isolators, pipe supports and bonded rubber-to-metal mounts.",medium
26,FK17Z7DJWLL1,Apco Technologies SA,11,"Industrial machinery, tooling & material handling",Modular / integrated assembly,"11 - Industrial machinery, tooling & material handling","Custom positioning, robotic handling, welding and assembly machinery.",high
