NAICS-6,NAICS-6 Title,Capability Domain (D),"Operating Role (R, internal)",Primary Output (P),Resolution,Review Flag,R-P Lattice Status,High-Integration Gate,D Rationale,R Rationale,P Rationale,Notes / Caveats
335312,Motor and Generator Manufacturing,D0,R2,P3,Partial,Y,In lattice,N,Motors map to D2 while generators map to D3 -> D0,Manufactures named electrical-machine product families -> R2,Motors and generators are bounded functional units -> P3,Override spread confirms domain ambiguity; P4 remains override-only
336611,Ship Building and Repairing,D0,R0,P0,Unresolved,Y,Unresolved,Y,Code spans 9 observed domains -> no defensible single D,Building vs repair ambiguous -> R0,P4/P5 need entity evidence; empirically 6 P labels -> P0,"Heterogeneous; resolve only via (Program,UEI) override"
335311,"Power, Distribution, and Specialty Transformer Manufacturing",D3,R2,P3,Mapped,N,In lattice,N,Transforms and regulates ship-service electrical power -> D3,Manufactures a named transformer product family -> R2,Transformers are bounded acceptance-testable equipment -> P3,P agrees across 8 overrides; D spread remains entity-specific
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,D5,R2,P3,Mapped,N,In lattice,N,Conditions air and provides refrigeration or heat transfer -> D5,Manufactures named HVAC and refrigeration equipment -> R2,Plants and packaged units are functional equipment -> P3,Override spread treated as entity-specific; definition-based default
332911,Industrial Valve Manufacturing,D4,R2,P3,Mapped,N,In lattice,N,Fluid/pressure component industry -> D4,Owns valve product design -> R2,"Bounded, acceptance-testable equipment -> P3",19/19 researched examples agree (D4/P3)
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,D0,R1,P2,Partial,Y,In lattice,N,Residual fabricated-metal products span multiple ship domains -> D0,Fabricates miscellaneous products to customer requirements -> R1,Residual products are most defensibly finished components -> P2,Broad residual code; entity overrides should carry technical domain
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",D4,R2,P3,Mapped,N,In lattice,N,Moves and dispenses fluids through pumping equipment -> D4,Manufactures a named pump product family -> R2,Pumps are bounded acceptance-testable equipment -> P3,P agrees across 9 overrides; D spread remains entity-specific
332111,Iron and Steel Forging,D9,R1,P1,Mapped,N,In lattice,N,Forging process is the differentiating capability -> D9,Processes purchased steel to customer specifications -> R1,Forgings normally require substantial downstream machining -> P1,D agrees across 7 overrides; P spread remains entity-specific
332312,Fabricated Structural Metal Manufacturing,D1,R1,P2,Mapped,Y,In lattice,N,Output is explicitly fabricated structural metal -> D1,Fabricates structural products to customer requirements -> R1,Structural fabrications are fit-ready components -> P2,Override output spread reflects complete-equipment exceptions
336412,Aircraft Engine and Engine Parts Manufacturing,D2,R0,P0,Partial,Y,Unresolved,N,Aircraft propulsion machinery is functionally closest to D2,"Engine OEM, parts, prototyping, and overhaul are mixed -> R0","Definition spans engines, parts, prototypes, and overhaul -> P0",Resolve operating form through entity evidence
332410,Power Boiler and Heat Exchanger Manufacturing,D5,R2,P3,Mapped,Y,In lattice,N,Boilers and heat exchangers perform thermal transfer -> D5,Manufactures named thermal-equipment product families -> R2,Boilers and heat exchangers are functional equipment -> P3,Override domains reflect program-specific applications
332313,Plate Work Manufacturing,D9,R1,P2,Mapped,Y,In lattice,N,"Plate cutting, forming, and welding is the core process -> D9",Fabricates plate work to customer requirements -> R1,Fabricated plate work is a fit-ready component -> P2,All researched outputs agree on P2; domain remains process-based
332710,Machine Shops,D9,R1,P2,Mapped,N,In lattice,N,Job-shop machining is the differentiating process -> D9,Machines customer-specified parts on an order basis -> R1,Machined products are finished parts -> P2,Override spread treated as entity-specific; definition-based default
335313,Switchgear and Switchboard Apparatus Manufacturing,D3,R2,P3,Mapped,N,In lattice,N,"Switches, protects, and distributes electrical power -> D3",Manufactures a named switchgear product family -> R2,Switchgear and switchboards are functional equipment -> P3,7/7 researched examples agree (D3/P3)
325212,Synthetic Rubber Manufacturing,D9,R1,P2,Mapped,Y,In lattice,N,Synthetic-rubber specialization is a materials capability -> D9,Processes elastomer material for customer applications -> R1,Observed suppliers consistently deliver finished rubber components -> P2,2/2 researched examples agree (D9/P2)
332912,Fluid Power Valve and Hose Fitting Manufacturing,D4,R2,P3,Mapped,Y,In lattice,N,Fluid-power valves and fittings control pressure flow -> D4,Manufactures a named fluid-power product family -> R2,Observed suppliers consistently deliver functional valve assemblies -> P3,5/5 researched examples agree (D4/P3); fitting-only vendors may require P2
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",D2,R2,P3,Mapped,N,In lattice,N,Gears and drives transmit mechanical power -> D2,Manufactures a named drive and gear product family -> R2,Gearboxes and drives are functional equipment -> P3,Single override treated as entity-specific; definition-based default
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",D6,R2,P3,Mapped,Y,In lattice,Y,"Search, radar, sonar, and navigation are mission functions -> D6",Manufactures named sensing and navigation products -> R2,Individual instruments and equipment are bounded units -> P3,5/5 researched examples agree (D6/P3); P4 requires entity evidence
