Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
HNAECT5M9TM4,"Public sources reviewed do not identify the specific DDG-51 item or service. Portuguese business directories describe SOCAIL as an industrial-piping/plumbing and building-construction contractor; because no reliable source ties a particular product or work package to the DDG subaward, the DDG-51 role cannot be confirmed.","https://www.guiadacidade.pt/pt/e/socail-sociedade-de-canalizacoes-industriais-lda-1239978
https://www.racius.com/socail-lda/",,Not confirmed — foreign entity; no primary U.S. NAICS located.
PQGNEEY9W5M3,Supplies Integrated Bridge and Navigation System (IBNS) steering-control hardware for DDG-51-class ships; a Navy procurement specifically identifies an IBNS aft steering unit.,https://sam.gov/opp/e1e2cfe0cc62478a9016814b7a6357ad/view,,
SSD8KRDXKG46,"Provides marine fire-protection equipment and engineering. A Hiller-approved 1½-inch stop-check valve is specifically identified as a component of the Halon fire-extinguishing system on DDG-51 through DDG-58; Hiller also designs, installs, and services shipboard detection and suppression systems.","https://www.lqlite.com/NSN/4820-01-449-2993
https://hillerfire.com/applications/marine-fire-protection/",,
HLVNZXU8EAM1,Supplies solid-state frequency/power-conversion equipment and related power-distribution magnetics. Its ACFC-288 converts 60-Hz ship-service power to 400 Hz for AEGIS equipment on DDG-51-class ships.,"https://www.marinelink.com/news/paragon-power-wins323122
https://www.parttarget.com/5950-01-497-9464_5950014979464_LW1931-5-P-N-24972GS.html
https://www.highergov.com/awardee/power-paragon-inc-10119793/
https://www.census.gov/naics/?details=33&input=33&year=2022",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
JRUCKDSNXKD5,Supplies retractable mooring bitts for DDG-51 construction. The Navy identified Entwistle as the original-equipment manufacturer and sole authorized manufacturer for these long-lead deck-machinery items.,https://govtribe.com/opportunity/federal-contract-opportunity/fy-13-17-uss-arleigh-burke-ddg-51-class-guided-missile-destroyers-construction-n0002412r2316,,
M4ELQDG7JLM5,Supplies centrifugal pumps and OEM parts/overhaul support for DDG-51 shipboard fluid systems. A Navy solicitation identifies Buffalo DH6080D-series centrifugal pumps for the Arleigh Burke class.,"https://sam.gov/opp/3e26ac5601c041bcb67336748451b382/view
https://www.businesswire.com/news/home/20220922005746/en/Fairbanks-Morse-Defense-Teams-with-Buffalo-Pumps-to-Expand-Pump-Service-Capabilities",,
J645RTMFWMW1,"Supplies heat-recovery evaporators/fresh-water generators that desalinate seawater into potable water. DDG-51 construction subawards cite the Maxim evaporator purchase specification, although public records do not expose the exact commercial model.","https://www.highergov.com/subcontract/N0002423C2307-1295394-1/
https://www.highergov.com/subcontract/N0002418C2307-17990-0/
https://www.fairbanksmorsedefense.com/solutions/water-treatment-systems/heat-recovery-evaporators/",,
WSK3WRSGKAU1,Supplies self-cleaning disk-stack centrifugal fuel purifiers used to remove water and solids from DDG-51 fuel-transfer streams. The DDG subaward is recorded under fuel-system purchase specification 541-10B.,"https://www.highergov.com/subcontract/N0002423C2307-14838-0/
https://www.parttarget.com/4930-01-118-1264_4930011181264_38467.html
https://www.scribd.com/document/340313779/S9086-SN-STM-010-Ch-541-Ship-Fuel-and-Fuel-Systems-Rev-9",,
FCK2D4PSV1L2,Supplies Blackmer rotary/hand pumps and related pump hardware for DDG-51. Public Navy item data also identifies a Blackmer relief-valve kit for the class’s aqueous-film-forming-foam firefighting pump.,"https://govtribe.com/vendors/dover-energy-inc-dot-blackmer-pump-07524
https://www.lqlite.com/NSN/4820-01-508-7401",,
V1MQFNQB56Z5,"Supplies STAR-200 high-pressure air compressors for DDG-51 Flight III ships, supporting shipboard compressed-air requirements.",https://www.rixindustries.com/rix-awarded-ddg-51-flight-iii-compressor-contract-successor-new-large-surface-combatant-program,,
F42BKS7EHCL8,"The DDG-128/129 construction subaward is labeled “TMR rebuy ES012 10451,” but the public record does not expand TMR or identify the exact equipment. EMS manufactures naval power-conversion/degaussing electronics, transformers, and power supplies; a specific product-to-subaward match could not be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-11155-0/
https://govtribe.com/vendors/ems-development-corporation-51435",,
FGNQE3RF1FK5,Supplies shipboard butterfly/gate valve assemblies and replacement parts for DDG-51 piping systems. Public NSN data identifies Morpac butterfly valves with the Arleigh Burke class as an end item.,"https://www.parttarget.com/Morpac-Industries-Inc_nsn-parts_10003_10008-5.html
https://www.highergov.com/subcontract/N0002423C2307-2608-0/",,
MC77SUMRLXY5,"Supplies Navy-qualified gate, globe, check/swing-check, and ball valves for DDG-51 fluid piping. Public item records identify Milwaukee swing-check valves specifically used on the class.","https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.lqlite.com/NSN/4820-01-479-9583
https://www.parttarget.com/4820-01-479-8507_4820014798507_1305-034-4IN.html",,
QNF5KM7YJSN7,"Performs welding/fabrication, ship-repair, and warranty work on DDG-51-class ships. Public records tie Southcoast to DDG construction warranty support and to repair work on USS Fitzgerald (DDG-62), but do not disclose a specific construction component in the listed subaward.","https://app.govly.com/public/awards/CONT_AWD_N0002413C2307_9700_-NONE-_-NONE--9525847d93f56c151e57441d5b733f7a
https://govtribe.com/award/federal-contract-award/delivery-order-n0002422d4472-n5523625f5002",,
LR2HQKYJLDZ7,"Supplies/distributes and repairs naval valve and actuator hardware under the J.A. Moody name. Public item data links an ESI valve assembly to the Arleigh Burke class, but the exact valve or actuator covered by this DDG construction subaward is not publicly identified.","https://jamoody.com/proud-to-be-iso-9001-certified-since-2014/
https://www.parttarget.com/4820-01-311-4989_4820013114989_478-819-060-414-MAA.html
https://www.govchime.com/market-intelligence/awards/CONT_AWD_N0010424PLB80_9700_-NONE-_-NONE-/",,
KNEFNMWXBK39,"Supplies electrical-distribution hardware, including circuit breakers for DDG-51 weapons systems and shore-power cable adapters used on the class.","https://www.war.gov/News/Contracts/Contract/Article/4186522/contracts-for-may-14-2025/
https://www.parttarget.com/5970-01-513-2491_5970015132491_BSFP500.html",,
Q35JL9GFCAK3,Supplies engineered fluid-control valves and manifolds for DDG-51 shipboard systems; Marotta identifies itself as a major valve/manifold supplier to the class.,"https://marotta.com/about/
https://www.highergov.com/subcontract/N0002423C2307-17313-0/",,
SKKACASET588,"The DDG subaward is under electrical/communications purchase specification 431-01C. Dynalec manufactures rugged shipboard communications, navigation, and switching equipment—especially sound-powered telephone/communications systems—but the exact unit in this subaward is not publicly disclosed.","https://www.dynalec.com/
https://www.highergov.com/subcontract/N0002423C2307-17264-0/",,
HLFDNJU7KXJ1,"Supplies automatic transfer-switch/power-control assemblies and electronic modules for shipboard electrical distribution. DDG subawards are documented, and Bogue ATS-4100 modules are publicly cataloged; the exact model purchased under the cited DDG line is not disclosed.","https://www.highergov.com/subcontract/N0002423C2307-3899-0/
https://www.highergov.com/subcontract/N0002418C2307-11288-0/
https://www.parttarget.com/5963-01-583-7997_5963015837997_DG-0216-01-REV-B---ATS-4100-M.html",,
MKXMUFJJYLY5,"Supplies naval motors, motor controllers, control components, heaters, overload relays, and systems-integration support. DDG-51 technical records identify Ward Leonard motor-controller equipment installed on the class; the specific construction-line item is not public.","https://www.businesswire.com/news/home/20210105005632/en/Fairbanks-Morse-Acquires-Ward-Leonard
https://man.fas.org/dod-101/sys/ship/weaps/docs/cg_03-91.html",,
LCZDJ6YPNYG6,"Provided fuel for DDG-125 construction, testing, and/or sea-trial support; the subcontract description explicitly identifies fuel for the ship.",https://www.highergov.com/subcontract/N0002413C2307-1274379-1/,,
ELC5EVMWFVM8,"Supplies deck-machinery hardware, including the emergency quick-disconnect switch and weldment handle for the DDG-51 slewing-arm davit (SLAD).","https://www.cleat.ai/government/contracts/uss-alreigh-burke-slad-switch-nuft
https://www.highergov.com/subcontract/N0002423C2307-14715-0/",,
