Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
C12YPM9YKQA5,D7,"Flowmeters, dew-point indicators and gas analyzers are process-instrumentation components.","https://www.panametrics.com/
https://www.bakerhughes.com/panametrics",P0,No public source ties a particular Panametrics measurement instrument to DDG-51 construction.,https://www.panametrics.com/; https://www.bakerhughes.com/panametrics/flow-meters; https://www.bakerhughes.com/panametrics/flowmeters/process-flowmeters/ultrasonic-inline-flowmeters
C7QHHMJEALN1,D7,Shipboard wire and cable are component-level power/signal interconnect.,"https://monroecableusa.com/
https://wirenet.org/listings/the-monroe-cable-company-inc/",P2,"Shipboard wire/cable is a finished installation component supplied for routing/termination, not raw metal stock.",https://govtribe.com/vendors/the-monroe-cable-company-dot-inc-dot-9r393; https://www.highergov.com/awardee/the-monroe-cable-company-inc-10014620/; https://wirenet.org/listings/the-monroe-cable-company-inc/
C7RWMXEE6SD3,D5,Chilled-water air-conditioning plants and HESC chillers are HVAC/thermal equipment.,"https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions
https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/",P3,HESC chilled-water air-conditioning plants/chillers are functional shipboard HVAC equipment units.,https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/; https://www.highergov.com/contract/N6449824C4002/; https://www.highergov.com/contract/N6449825D4018-N6449826FX037/
CFXRGJSB9UB6,D3,Shock-hardened circuit breakers and switchgear protect/distribute ship service power.,"https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086
https://www.leonardodrs.com/what-we-do/products-and-services/circuit-breakers/",P3,"Circuit breakers, switchgear, and power-distribution equipment are functional electrical protection/distribution units.",https://sam.gov/opp/7d72a86e8fb747c6a2bb38b7dd5761bc/view; https://www.asdnews.com/news/defense/2016/03/17/l3-provide-power-node-control-center-us-navy-destroyer-program; https://www.nsrp.org/wp-content/uploads/2016/11/3-Safer-Inspection-Public.pdf
D2J1SSHB5EB7,D4,Sediment strainers and automatic backflushing strainers are fluid filtration hardware.,"https://www.hellanstrainer.com/strainers/hellan-online-cleanable-strainers/hellan-automatic/
https://www.hellanstrainer.com/",P3,Automatic backflushing strainers are functional filtration equipment; strainer elements do not make it a configured system.,https://www.highergov.com/nsn/4730014752135/; https://www.lqlite.com/NSN/4730-01-343-3680; https://www.wbparts.com/rfq/4730-01-475-2135.html
DQ35GXAUTW61,D11,"[MECE 2026-06-20: D9->D11 firm-level reclassification, ship application determinable] Abrasive blasting, surface preparation and protective coatings are specialty material/process work.","https://www.navsea.navy.mil/Portals/103/Documents/SSRAC/NSI/FY21/FY21%20NSI%20Finals/009-32_FY21_pkg.pdf
No company-specific public URL source located for the DDG role.",P6,"The handoff is abrasive blasting, surface preparation, and coating/painting labor rather than a finished ship article.",https://industrialcorrosion.com/
DWUHNL9BC3U7,D4,Compressed-air dehydrators and chlorinators treat shipboard air/fluid pressure systems.,"https://www.howelllabs.com/product-category/compressed-air-treatment/
https://www.howelllabs.com/product-category/water-treatment/seawater-treatment/chlorinators/
https://www.howelllabs.com/company/history/",P3,Compressed-air dehydrators and electrochemical chlorinators are bounded functional treatment equipment units.,https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/1.pdf; https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/63.pdf; https://www.howelllabs.com/product-category/compressed-air-treatment/membrane-air-dehydrators/
E83TNKA9JCY6,D5,Electrostatic air cleaners and filtration units condition/clean shipboard air.,"https://docs.johnsoncontrols.com/airdistribution/api/khub/documents/9H8Lje6B0ehsuov86eopZw/content
https://www.trioniaq.com/",P0,No public source identifies a Trion/Air Systems component installed during DDG-51 construction.,https://www.trioniaq.com/; https://www.airdistribution.com/
EDNNTCM7SUS8,D9,"Ship preservation, blasting and protective coating removal/application are specialty coating processes.","https://www.imiallc.com/services/preservation/
https://govtribe.com/vendors/international-marine-and-industrial-applicators-llc-50vu1",P6,"The role is ship preservation, coating removal/application, and structural repair support labor.",https://www.ndia.org/-/media/sites/ndia/meetings-and-events/2025/9/usw-fall/2025-usw-fall-program_final.pdf; https://www.navsea.navy.mil/Portals/103/Documents/Small_Business_Forum/NAVSEA%20Enterprise%20LRAE%20June%20FY25_Final%20Locked.xlsx
ELC5EVMWFVM8,D8,SLAD quick-disconnect switch and weldment handle are davit/deck-machinery hardware.,"https://www.lakeshoresys.com/marine-and-defense/cranes/
https://sam.gov/opp/d96a6580660c40c199779fc51724f9be/view",P2,Quick-disconnect switch and weldment-handle items for the SLAD are fit-ready deck-machinery components.,https://www.lakeshoresys.com/marine-and-defense/cranes/; https://www.highergov.com/contract-opportunity/boat-davit-parts-n50054-18-t-0021-r-d05a0/
ENNXJDZUYCK3,D7,Shipboard electrical/fiber-optic cable and cable assemblies are interconnect hardware.,"https://www.marmon-ad.com/shipboard/low-smoke/defense-link-navsea-approved
https://www.marmon-ad.com/shipboard/dry-block",P2,"Shipboard cable and cable assemblies are finished fit-ready electrical/fiber-optic components, not raw material.",https://www.highergov.com/awardee/marmon-aerospace-defense-llc-10430473/; https://www.marmon-ad.com/
EV4ZGUNNKMJ6,D1,"Ship repair, alterations and fabrication indicate marine structural fabrication capability.","https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-6q476
https://www.marinelogbuyersguide.com/company/847333/pacific-ship-repair-fabrication-inc",P6,"The confirmed DDG work is maintenance, repair, alteration, and fabrication service rather than a new-construction article.",https://www.usaspending.gov/award/CONT_AWD_N0002412C4400_9700_-NONE-_-NONE-; https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-6q476; https://www.marinelink.com/news/modification-contract372221
EVZMB1757DW5,D1,Structural-steel fabrication is hull/structural marine fabrication.,"https://www.steelfab-inc.com/
https://www.northernedgeadvisors.com/deal/steelfab-inc/",P0,A DDG subcontract is recorded but no delivered item or work package is identified.,https://www.steelfab-inc.com/; https://app.g2xchange.com/companies/EVZMB1757DW5
F42BKS7EHCL8,D3,"Naval power-conversion electronics, transformers and power supplies are electrical power hardware.","https://govtribe.com/vendors/ems-development-corporation-51435
https://www.actpower.com/blog/naval-power-supplies-advanced-conversion-technology/",P0,The DDG line item is not expanded and no specific EMS product-to-subaward match is confirmed.,https://www.highergov.com/subcontract/N0002418C2307-11155-0/
FCK2D4PSV1L2,D4,Blackmer pumps and related relief-valve kits are fluid-system hardware.,"https://www.blackmerpumps.com/products/451415-relief-valve
https://www.psgdover.com/blackmer/products/ancillary-equipment/air-valve-kits",P3,Blackmer pumps and relief-valve pump hardware are functional fluid-handling units.,https://www.psgdover.com/docs/default-source/blackmer-docs/parts-lists/103-a12.pdf; https://www.psgdover.com/blackmer
FG7CGCHSNML9,D0,Security-screening product line lacks a credible DDG ship-construction technical role.,"https://www.leidos.com/insights/leidos-acquire-l3harris-technologies-security-detection-and-automation-businesses
https://us-indiaacp.com/downloads/member-profile/l3-.pdf",P0,The entity’s known security-screening product line has no credible DDG-51 ship-construction role.,https://www.leidos.com/products/security-detection; https://www.asap-aerospace.com/rfq/l-3-communications-corporation/6350001316579/ich8d3/
FGNQE3RF1FK5,D4,Butterfly/gate valves and replacement parts control shipboard piping systems.,"https://www.morpac.com/actuators/valves/valve-90-degree.shtml
https://jamoody.com/exclusive-nationwide-repair-center-for-morpac-navy-actuators/",P3,"Butterfly/gate valve assemblies are functional fluid-control equipment, even when shipped with replacement parts.",https://www.wbparts.com/rfq/4810-01-420-7947.html; https://www.parttarget.com/Morpac-Industries-Inc_nsn-parts_10015-1_10008-ITEM-2.html
FLMQAKFEMG64,D5,Fuel immersion/flange heaters transfer heat into shipboard fuel systems.,"https://indeeco.com/wp-content/uploads/2022/08/C21-2_-_Electric_Heaters_for_Naval_and_Marine_Applications.pdf
https://indeeco.com/news/2014/12/23/marine-heaters-for-military-use/",P3,Fuel immersion/flange heaters with sensing/control hardware are functional heating equipment units.,https://indeeco.com/products/category/industrial/immersion-heaters/; https://indeeco.com/wp-content/uploads/2022/09/Electric_Immersion_Heater_Catalog.pdf; https://indeeco.com/products/industrial/specialty-heating/marine-heating/fluid-heating-equipment/
FLQJXSFMNQP6,D9,Forged anchor chain and connecting links reflect a forging/material-process specialty.,"https://listerchain.com/
https://listerchain.com/products-services/",P2,"Finished anchor chain, connecting links, and chain fittings are fit-ready anchoring/mooring components.",https://www.highergov.com/awardee/lister-chain-and-forge-inc-10005895/; https://magazines.marinelink.com/Magazines/MaritimeReporter/198902/content/long-outlook-shipbuilding-200910; https://magazines.marinelink.com/magazines/MaritimeReporter/199205/pdf/
FRJQGQHDX4J3,D6,Secure tactical communications electronics are system-level communications equipment.,"https://www.l3harris.com/all-capabilities/integrated-tactical-communication-systems
https://www.l3harris.com/all-capabilities/family-maritime-shipboard-terminals-mst",P0,No public evidence identifies a distinct DDG-51 construction item for this communications-electronics UEI.,https://www.l3harris.com/all-capabilities/tactical-communications; https://www.l3harris.com/; https://www.sec.gov/Archives/edgar/data/202058/000162828018012767/0001628280-18-012767.txt
FZPYZ11SFNA6,D2,Philadelphia Gear main reduction gears transmit DDG-51 propulsive power.,"https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships
https://www.philagear.com/industries/marine/military-marine/",P3,Main reduction gears are acceptance-testable propulsion machinery; co-delivered gear shipsets do not create a configured P4 system.,https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships; https://www.timken.com/timken-world/powering-naval-ships-for-decades-of-service/; https://news.timken.com/2016-02-15-Timken-Receives-Gear-Contract-From-US-Department-of-Defense
G78MQ69BN636,D7,"Pressure switches, control panels and electromechanical parts are component-level instrumentation/electronics.","https://www.highergov.com/awardee/aircraft-appliances-and-equipment-limited-10112412/
https://aaeltd.com/lube-oil-filter-separator/
https://www.wbparts.com/rfq/5930-01-173-0824.html",P3,Pressure switches/control panels/power panels are bounded electromechanical control or power units.,https://publications.gc.ca/collections/collection_2019/isde-ised/Iu41-9-1992-eng.pdf
GKPGD2F1LKL5,D9,"Large open-die forgings, shafts and rotors are material/process-specialty products.","https://www.ellwoodgroup.com/markets/marine
https://www.ellwoodcityforge.com/",P1,Large open-die forgings/shaft or rotor forgings are unfinished inputs requiring downstream machining.,https://www.ellwoodcityforge.com/; https://www.ellwoodcityforge.com/products/shafts-and-rotors; https://www.ellwoodgroup.com/markets/marine
GXPHJRVG9MR7,D3,"Naval transformers, switchboards, load centers and power-conditioning equipment distribute ship service power.","https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/",P3,"Transformers, switchboards/load centers, and power-conditioning equipment are functional power-distribution units at handoff.",https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
H1PAVTLJBJ88,D4,"Fire-suppression valves, nozzles, sprinklers and foam-system products control extinguishing fluids.","https://www.tyco-fire.com/products-and-solutions/sprinklers-nozzles-and-accessories
https://www.tyco-fire.com/products-and-solutions/valves-devices-and-components",P3,"Fire-protection valves, nozzles, sprinklers, and related components are functional suppression-system equipment at component level.",https://www.tyco-fire.com/; https://www.perimeter-solutions.com/wp-content/uploads/2022/01/PERI1135_Foam_Design_Manual_v5.pdf
H4ZMPGLLZ8D9,D2,"Propeller, intermediate and stern-tube shafting are propulsion power-transmission components.","https://collinsmachine.com/service/marine-shafting-components/
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/",P2,"Propeller, intermediate, and stern-tube shafts are finished shafting components installed into the propulsion line.",https://govtribe.com/vendors/artcraft-fabricators-inc-dot-collins-machine-works-3g600; https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/
HLE1E2KALJA5,D3,Naval specialty transformers and power-distribution equipment are ship-service electrical hardware.,"https://www.l3harris.com/all-capabilities/marine-power-distribution
https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/",P3,Naval transformers and power-distribution equipment are bounded functional electrical units.,https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers; https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards
HLFDNJU7KXJ1,D3,Automatic transfer-switch and power-control modules distribute/protect electrical power.,"https://www.usni.org/magazines/proceedings/2005/august/naval-systems-advanced-power-devices-fielded-fleet
https://www.parttarget.com/Bogue-Systems-Inc_nsn-parts_A-57289_DG-0245-01.html",P3,Automatic transfer-switch/power-control assemblies are functional electrical-distribution equipment.,https://www.scribd.com/document/891084373/LM-Limited-Source-List-Dec-2018-20181211; https://boguesystems.com/
HLVBPCA2LH41,D2,Controllable-pitch propeller hubs and oil-distribution boxes are propulsion/propulsor hardware.,"https://www.highergov.com/idv/N6449820D4000/
https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx",P2,"Controllable-pitch propeller hub/oil-distribution-box work is delivered as fit-ready propulsor components, not a complete functional propulsion unit.",https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx; https://www.highergov.com/idv/N6449820D4000/; https://magazines.marinelink.com/Magazines/MaritimeReporter/198611/content/birdjohnson-powerful-propellers-201699
HLVNZXU8EAM1,D3,60-Hz to 400-Hz conversion equipment and power magnetics convert/distribute ship service power.,"https://www.marinelink.com/news/paragon-power-wins323122
https://govtribe.com/vendors/power-paragon-inc-dot-power-systems-group-04801",P3,The ACFC-288 frequency converter is a bounded power-conversion unit that performs a defined electrical function.,https://www.marinelink.com/news/paragon-power-wins323122
HNAECT5M9TM4,D0,No DDG item or single ship technical specialty is confirmed for this foreign entity.,"No public DDG-specific URL source located.
https://www.europages.co.uk/companies/portugal/industrial-piping.html",P0,No reliable source identifies a specific DDG-51 item or service for this UEI.,No reliable public URL source found for a DDG-51-specific deliverable.
HUK5MJK4MH39,D4,"Regulating, pressure-reducing and control valves are fluid-control hardware.","https://www.fairbanksmorsedefense.com/solutions/valves/
https://dantevalve.com/blog/valves-ship-building-maintenance/",P3,"Regulating, control, and pressure-reducing valves are functional fluid-control equipment.",https://www.circor.com/brands/leslie-controls; https://www.circor.com/sites/default/files/imported-files/Regulator-Handbook-CIRCOR-Leslie-Controls.pdf; https://govtribe.com/vendors/leslie-controls-inc-dot-35795
HWLGUR28KMS6,D8,Slewing-arm davits and boat launch/recovery gear are deck handling machinery.,"https://www.appletonmarine.com/products/build-to-print/
https://www.appletonmarine.com/",P3,Slewing-arm davits/deck machinery are bounded functional launch-and-recovery equipment.,https://www.appletonmarine.com/products/build-to-print/; https://govtribe.com/opportunity/federal-contract-opportunity/navy-standard-slewing-arm-davits-slads-supply-and-service-n6449819r4076; https://www.highergov.com/contract-opportunity/sources-sought-request-for-information-rfi-navy-n64498-24-rfpreq-pd-43-0205-r-fb00d/
HYGLK2BNFKB3,D2,The entity’s differentiating competence is diesel-engine prime movers.,"https://www.mtu-solutions.com/na/en/applications/power-generation/power-generation-products/diesel-generator-sets.html
https://www.mtu-solutions.com/na/en/applications/commercial-marine/system-solutions/marine-gensets.html",P0,No public evidence assigns this UEI a distinct DDG-51 new-construction component.,https://govtribe.com/award/federal-idv-award/indefinite-delivery-contract-n6449816d0013; https://www.mtu-solutions.com/na/en.html
